emp_length_num,home_ownership,dti,purpose,term (in months),bad_loans
11,RENT,17.67,small_business,36,1
1,RENT,9.43,debt_consolidation,60,0
9,MORTGAGE,12.94,debt_consolidation,60,0
11,RENT,15.07,debt_consolidation,60,0
3,RENT,8.8,debt_consolidation,36,0
11,MORTGAGE,19.38,debt_consolidation,36,0
11,MORTGAGE,4.3,major_purchase,36,0
6,MORTGAGE,13.93,debt_consolidation,36,0
3,MORTGAGE,18.57,debt_consolidation,36,0
4,MORTGAGE,22.34,credit_card,36,0
0,MORTGAGE,27.84,debt_consolidation,36,1
11,MORTGAGE,6.89,debt_consolidation,36,0
3,RENT,20.32,debt_consolidation,60,1
11,MORTGAGE,12.81,debt_consolidation,36,0
2,RENT,23.96,debt_consolidation,36,1
11,RENT,23.07,credit_card,36,0
4,MORTGAGE,22.11,home_improvement,36,0
10,RENT,10.69,credit_card,36,0
3,RENT,13.42,debt_consolidation,36,0
9,MORTGAGE,17.21,debt_consolidation,36,0
11,RENT,7.4,debt_consolidation,36,0
11,MORTGAGE,14.15,debt_consolidation,36,0
0,RENT,15.26,debt_consolidation,36,0
11,RENT,0.72,house,36,0
1,MORTGAGE,22.65,other,36,0
5,MORTGAGE,14.5,debt_consolidation,36,0
2,MORTGAGE,10.02,debt_consolidation,60,0
8,MORTGAGE,12.48,credit_card,36,1
4,RENT,19.97,debt_consolidation,60,0
8,MORTGAGE,26.73,debt_consolidation,36,0
6,RENT,23.23,debt_consolidation,36,0
11,MORTGAGE,0.42,credit_card,60,0
11,MORTGAGE,10.74,debt_consolidation,36,0
11,MORTGAGE,15.89,debt_consolidation,60,0
1,RENT,11.89,major_purchase,36,0
4,RENT,7.86,debt_consolidation,36,0
9,MORTGAGE,17.06,home_improvement,60,0
11,RENT,14.34,debt_consolidation,60,0
11,MORTGAGE,15.71,credit_card,36,0
4,RENT,6,car,36,0
2,RENT,6.8,car,36,0
5,RENT,21.48,debt_consolidation,60,1
5,RENT,29.04,debt_consolidation,36,1
5,RENT,2,credit_card,36,0
1,RENT,19.52,debt_consolidation,36,0
3,MORTGAGE,12.46,debt_consolidation,36,0
1,RENT,3.98,debt_consolidation,36,0
2,MORTGAGE,25.68,vacation,36,0
3,RENT,24.72,major_purchase,36,0
4,MORTGAGE,17.69,wedding,36,0
8,MORTGAGE,34.49,credit_card,36,0
6,RENT,23.64,debt_consolidation,60,0
5,RENT,11.09,car,36,1
2,OWN,21.33,credit_card,36,0
6,RENT,11.76,credit_card,60,1
11,MORTGAGE,14.32,debt_consolidation,36,0
7,MORTGAGE,15.85,debt_consolidation,60,0
11,RENT,25.9,credit_card,36,0
1,RENT,2.07,debt_consolidation,60,0
7,RENT,13.65,debt_consolidation,36,0
3,MORTGAGE,15.83,credit_card,36,1
1,RENT,23.75,small_business,60,1
11,MORTGAGE,22.05,home_improvement,36,0
8,MORTGAGE,14.15,debt_consolidation,36,0
2,RENT,20.94,debt_consolidation,36,0
11,MORTGAGE,18.92,debt_consolidation,60,1
5,RENT,22.67,debt_consolidation,36,0
4,MORTGAGE,19.05,debt_consolidation,60,1
0,RENT,2.67,credit_card,36,0
6,RENT,7.68,debt_consolidation,60,0
8,MORTGAGE,13.16,debt_consolidation,36,0
1,RENT,14.74,credit_card,36,0
7,MORTGAGE,19.61,credit_card,36,0
3,RENT,13.4,debt_consolidation,60,0
6,MORTGAGE,9.81,credit_card,36,1
11,MORTGAGE,10.12,debt_consolidation,60,0
11,MORTGAGE,19.41,debt_consolidation,36,0
11,MORTGAGE,4.75,major_purchase,36,0
1,RENT,3.6,credit_card,36,0
7,MORTGAGE,19.98,other,36,0
8,MORTGAGE,15.37,debt_consolidation,36,0
1,RENT,1.23,debt_consolidation,36,0
3,MORTGAGE,22.71,debt_consolidation,36,0
0,OWN,12.93,credit_card,36,0
8,MORTGAGE,16.4,debt_consolidation,36,0
8,RENT,7.12,credit_card,36,0
1,OWN,10.55,debt_consolidation,60,1
11,MORTGAGE,9.75,major_purchase,60,0
11,MORTGAGE,14.27,home_improvement,60,0
6,RENT,7,credit_card,36,0
3,MORTGAGE,6.96,home_improvement,36,0
4,RENT,26.86,debt_consolidation,36,0
2,RENT,12.42,other,36,0
1,RENT,12.86,credit_card,36,0
4,MORTGAGE,15.76,credit_card,36,0
10,RENT,12.95,debt_consolidation,36,1
11,MORTGAGE,13.59,debt_consolidation,36,0
11,RENT,2.01,debt_consolidation,36,0
7,RENT,6.63,credit_card,36,0
4,RENT,3.29,debt_consolidation,36,0
11,MORTGAGE,11.78,home_improvement,60,0
4,MORTGAGE,10.58,home_improvement,36,0
11,MORTGAGE,26.62,debt_consolidation,36,0
6,RENT,15.68,credit_card,36,0
1,RENT,12.49,debt_consolidation,36,0
11,RENT,23.54,other,36,1
8,MORTGAGE,6.97,debt_consolidation,36,0
11,MORTGAGE,6.76,major_purchase,36,0
6,RENT,21.56,other,60,0
7,RENT,18.64,car,36,0
3,RENT,10.51,debt_consolidation,36,0
11,MORTGAGE,18.48,debt_consolidation,36,0
11,MORTGAGE,17.56,credit_card,36,0
11,MORTGAGE,10.49,debt_consolidation,36,0
7,RENT,9.46,debt_consolidation,36,0
3,MORTGAGE,17.66,debt_consolidation,36,0
11,MORTGAGE,12.22,debt_consolidation,36,0
2,RENT,19,other,36,0
11,RENT,17.6,debt_consolidation,36,0
6,RENT,8.24,credit_card,36,0
11,RENT,4.62,debt_consolidation,36,0
4,RENT,4.09,other,36,0
0,MORTGAGE,13.09,debt_consolidation,36,1
3,MORTGAGE,18.59,debt_consolidation,36,0
6,RENT,6.11,major_purchase,60,0
0,OWN,20.71,credit_card,36,1
11,MORTGAGE,2,debt_consolidation,60,0
4,MORTGAGE,14.52,major_purchase,36,1
11,RENT,13.49,debt_consolidation,36,0
3,MORTGAGE,28.89,credit_card,36,0
3,RENT,20,debt_consolidation,36,0
5,MORTGAGE,20.01,debt_consolidation,36,0
9,MORTGAGE,13.8,home_improvement,36,0
11,RENT,23.1,credit_card,36,0
9,RENT,28.29,debt_consolidation,36,0
8,MORTGAGE,5.58,debt_consolidation,36,0
5,RENT,10.57,debt_consolidation,36,0
8,MORTGAGE,23.04,debt_consolidation,60,0
11,MORTGAGE,24.7,debt_consolidation,60,0
3,MORTGAGE,23.02,debt_consolidation,36,0
3,MORTGAGE,3.24,credit_card,36,0
4,MORTGAGE,17.36,debt_consolidation,60,0
4,RENT,15.11,debt_consolidation,36,0
5,RENT,22.03,debt_consolidation,36,0
11,MORTGAGE,23.63,credit_card,36,0
2,RENT,17.03,debt_consolidation,36,0
2,RENT,21.07,debt_consolidation,60,0
11,MORTGAGE,29.75,credit_card,36,0
2,MORTGAGE,16.84,debt_consolidation,60,0
8,MORTGAGE,10.27,debt_consolidation,36,0
1,RENT,4.22,debt_consolidation,36,0
10,MORTGAGE,19.89,credit_card,36,0
11,OWN,32.03,credit_card,36,1
3,RENT,13.43,debt_consolidation,36,0
6,RENT,9.19,debt_consolidation,60,0
9,MORTGAGE,14.37,debt_consolidation,36,0
11,MORTGAGE,20.12,debt_consolidation,60,0
11,MORTGAGE,25.71,car,36,0
11,MORTGAGE,22.1,debt_consolidation,60,1
1,RENT,17.23,debt_consolidation,36,1
11,MORTGAGE,19.45,credit_card,36,0
1,RENT,14.36,debt_consolidation,36,0
3,RENT,13.82,debt_consolidation,36,0
11,MORTGAGE,1.63,home_improvement,36,0
7,MORTGAGE,3.94,home_improvement,36,0
6,MORTGAGE,22.08,debt_consolidation,60,1
8,MORTGAGE,11.63,debt_consolidation,36,0
5,MORTGAGE,17.39,debt_consolidation,60,0
11,RENT,22.2,debt_consolidation,36,1
11,RENT,10.05,debt_consolidation,60,0
5,RENT,6.76,credit_card,36,0
1,RENT,27.04,debt_consolidation,36,0
11,MORTGAGE,20.25,moving,36,0
11,MORTGAGE,14.91,debt_consolidation,36,0
2,RENT,16.95,debt_consolidation,36,0
1,MORTGAGE,4.42,home_improvement,36,0
2,RENT,21.21,debt_consolidation,36,0
4,RENT,6.13,credit_card,36,1
2,MORTGAGE,16.02,home_improvement,60,0
11,MORTGAGE,22.32,credit_card,36,0
6,MORTGAGE,15.31,credit_card,36,0
11,MORTGAGE,10.39,debt_consolidation,60,0
11,MORTGAGE,0.22,debt_consolidation,36,1
3,MORTGAGE,28.45,debt_consolidation,36,0
0,MORTGAGE,13.96,debt_consolidation,36,0
1,OWN,29.31,debt_consolidation,36,0
5,MORTGAGE,10.89,debt_consolidation,36,1
8,RENT,5.82,debt_consolidation,36,0
8,MORTGAGE,1.39,debt_consolidation,36,0
7,MORTGAGE,8.38,major_purchase,36,1
3,RENT,9.27,debt_consolidation,60,1
11,RENT,28.74,major_purchase,36,0
5,MORTGAGE,7.58,debt_consolidation,36,0
11,RENT,6.44,debt_consolidation,36,0
4,MORTGAGE,11.75,home_improvement,60,0
4,RENT,13.15,debt_consolidation,36,0
1,RENT,12.14,credit_card,36,0
11,MORTGAGE,7.35,debt_consolidation,36,0
1,RENT,23.15,credit_card,60,0
11,RENT,18.27,medical,36,0
1,RENT,23.65,debt_consolidation,60,0
2,MORTGAGE,22.12,debt_consolidation,36,0
6,RENT,12.57,wedding,36,0
11,RENT,15.88,other,36,1
1,RENT,20.9,debt_consolidation,36,0
11,RENT,8.96,small_business,60,1
2,RENT,10.71,debt_consolidation,36,0
11,RENT,28.12,vacation,36,0
2,RENT,29.71,moving,36,0
9,RENT,17.7,credit_card,36,0
10,MORTGAGE,15.72,other,60,0
3,MORTGAGE,16.95,debt_consolidation,36,0
3,RENT,9.11,major_purchase,36,0
1,RENT,16.39,major_purchase,36,0
0,MORTGAGE,18.52,debt_consolidation,60,0
1,RENT,6.96,debt_consolidation,60,0
5,RENT,8.18,debt_consolidation,60,0
11,MORTGAGE,15.29,other,36,0
6,MORTGAGE,17.34,debt_consolidation,36,0
11,RENT,18.73,other,36,0
11,RENT,4.76,other,36,0
5,RENT,14.49,debt_consolidation,60,1
3,RENT,0,moving,36,1
5,RENT,23.5,wedding,60,0
11,MORTGAGE,11,debt_consolidation,36,0
2,RENT,1.88,medical,36,0
3,RENT,19.14,credit_card,36,0
0,OWN,7.8,credit_card,36,1
4,RENT,11.86,other,60,1
11,MORTGAGE,10.17,other,36,0
1,RENT,18.91,moving,36,0
5,MORTGAGE,6.6,debt_consolidation,36,0
9,RENT,21.32,debt_consolidation,36,0
5,RENT,24.54,credit_card,36,0
8,MORTGAGE,21.57,credit_card,36,0
11,MORTGAGE,26.59,debt_consolidation,60,1
5,MORTGAGE,9.86,debt_consolidation,60,0
11,MORTGAGE,8.15,debt_consolidation,36,0
11,MORTGAGE,11.17,debt_consolidation,60,0
5,MORTGAGE,17.52,debt_consolidation,36,0
3,RENT,23.06,debt_consolidation,36,0
11,MORTGAGE,23.8,car,36,0
3,MORTGAGE,2.4,small_business,36,0
6,MORTGAGE,16.59,debt_consolidation,36,0
1,RENT,20.94,debt_consolidation,36,0
9,MORTGAGE,21.12,debt_consolidation,60,0
11,MORTGAGE,22.16,credit_card,36,0
11,RENT,5.78,debt_consolidation,36,0
3,RENT,22.03,debt_consolidation,60,1
2,RENT,8.8,credit_card,36,0
7,MORTGAGE,14.94,debt_consolidation,36,0
11,OWN,19.75,other,36,0
11,OWN,11.39,debt_consolidation,36,0
3,OWN,21.53,debt_consolidation,36,0
4,RENT,3.89,debt_consolidation,36,0
11,MORTGAGE,11.61,debt_consolidation,60,0
5,RENT,25.84,debt_consolidation,36,0
11,MORTGAGE,13.05,debt_consolidation,36,0
6,MORTGAGE,18.51,debt_consolidation,36,1
3,RENT,14.78,other,36,0
3,RENT,21.82,debt_consolidation,36,0
9,RENT,0.56,car,36,1
6,RENT,18.34,debt_consolidation,36,0
11,RENT,15.96,credit_card,36,0
1,MORTGAGE,22.32,debt_consolidation,60,1
6,RENT,10.85,debt_consolidation,36,0
11,OWN,6.54,debt_consolidation,36,1
11,MORTGAGE,15.14,home_improvement,36,0
3,RENT,14,car,36,1
6,MORTGAGE,2.19,other,36,0
0,RENT,26.28,debt_consolidation,36,1
11,RENT,15.83,credit_card,60,0
5,MORTGAGE,16.98,credit_card,36,0
5,OWN,28.99,debt_consolidation,36,0
11,RENT,15.88,debt_consolidation,36,0
11,MORTGAGE,1.88,home_improvement,36,0
1,RENT,21.6,credit_card,36,0
9,RENT,15.67,debt_consolidation,36,0
5,MORTGAGE,7.62,credit_card,60,0
11,OWN,31.06,debt_consolidation,36,0
11,MORTGAGE,8.18,other,36,0
3,RENT,5.25,debt_consolidation,36,1
3,MORTGAGE,20.69,debt_consolidation,60,0
6,RENT,23.1,debt_consolidation,60,0
1,MORTGAGE,8.52,debt_consolidation,36,0
0,RENT,7.65,debt_consolidation,36,1
6,RENT,16.19,credit_card,36,1
11,MORTGAGE,8.9,credit_card,36,0
11,OWN,10.02,moving,36,0
10,MORTGAGE,9.99,debt_consolidation,36,0
11,MORTGAGE,16.65,debt_consolidation,60,1
8,OWN,8.49,credit_card,36,0
3,RENT,15.56,credit_card,36,0
8,RENT,3.99,wedding,36,0
4,MORTGAGE,29.65,debt_consolidation,60,1
3,RENT,7.66,debt_consolidation,36,1
2,RENT,6.96,debt_consolidation,36,0
5,MORTGAGE,15.04,debt_consolidation,36,0
5,RENT,13.25,medical,36,0
3,RENT,22.87,wedding,36,0
11,MORTGAGE,12.53,home_improvement,36,0
11,MORTGAGE,15.69,debt_consolidation,60,0
3,RENT,16.2,debt_consolidation,36,0
4,MORTGAGE,18.73,credit_card,36,0
11,RENT,8.37,credit_card,36,0
1,RENT,4.59,other,36,1
11,MORTGAGE,24.96,debt_consolidation,60,0
11,MORTGAGE,33.29,debt_consolidation,36,0
7,RENT,22.54,credit_card,36,0
0,OWN,24.42,credit_card,36,0
11,RENT,15.53,credit_card,36,0
1,MORTGAGE,4.23,debt_consolidation,60,1
11,MORTGAGE,25,credit_card,36,0
11,MORTGAGE,10.37,medical,60,0
1,MORTGAGE,8.94,debt_consolidation,36,0
2,RENT,13.88,credit_card,60,0
1,MORTGAGE,15.49,debt_consolidation,36,0
3,MORTGAGE,19.11,other,36,0
2,MORTGAGE,14.13,debt_consolidation,36,0
3,RENT,14.71,major_purchase,36,0
1,RENT,21.6,wedding,60,0
1,MORTGAGE,24.8,debt_consolidation,36,0
10,OTHER,15.53,credit_card,36,0
0,MORTGAGE,12.5,debt_consolidation,36,0
8,MORTGAGE,19.49,debt_consolidation,60,0
6,MORTGAGE,8.59,debt_consolidation,36,0
2,RENT,23.13,debt_consolidation,36,1
11,MORTGAGE,21.09,debt_consolidation,36,0
11,MORTGAGE,14.61,credit_card,60,0
1,RENT,21.27,debt_consolidation,60,0
8,RENT,9.68,debt_consolidation,36,1
0,MORTGAGE,10.12,home_improvement,36,1
11,MORTGAGE,29.42,debt_consolidation,36,1
10,RENT,7.71,debt_consolidation,36,0
5,MORTGAGE,14.14,debt_consolidation,36,0
11,MORTGAGE,7.22,credit_card,36,0
0,RENT,9.96,debt_consolidation,36,0
11,MORTGAGE,19.74,debt_consolidation,60,1
4,RENT,14.77,debt_consolidation,36,0
5,MORTGAGE,7.59,home_improvement,36,0
1,RENT,9.56,wedding,60,0
11,OWN,25.63,credit_card,36,0
4,RENT,28.6,debt_consolidation,36,0
10,RENT,16.85,debt_consolidation,36,0
4,RENT,17.31,credit_card,36,0
10,MORTGAGE,15.69,debt_consolidation,36,1
0,OWN,14.79,home_improvement,36,0
3,RENT,2.4,small_business,36,0
11,RENT,6.1,other,36,0
3,RENT,17.54,credit_card,36,0
4,RENT,5.83,debt_consolidation,36,0
11,MORTGAGE,14.09,debt_consolidation,36,0
8,RENT,7.91,credit_card,36,0
4,MORTGAGE,11.8,credit_card,36,0
11,MORTGAGE,4.54,home_improvement,36,0
11,MORTGAGE,15.27,debt_consolidation,36,0
10,MORTGAGE,16.74,credit_card,36,0
3,RENT,24.1,major_purchase,60,1
7,RENT,13.22,small_business,60,1
5,RENT,4.62,wedding,36,0
7,RENT,19.64,debt_consolidation,60,1
11,RENT,24.34,debt_consolidation,36,0
3,RENT,11.47,house,36,0
1,RENT,8.36,other,36,0
9,RENT,16.02,debt_consolidation,36,0
4,RENT,15.4,debt_consolidation,36,0
3,OWN,28.39,wedding,36,0
2,MORTGAGE,14.35,debt_consolidation,36,0
3,MORTGAGE,6.38,credit_card,36,0
11,RENT,22.13,debt_consolidation,36,0
6,OWN,13.49,car,60,0
